"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"490",0.00158941693261856,0.000700035974582233,0.000644859111182211,NA,0.00168163905029597,0.00151513878555114,0.00181143441734252,0.00114331961912217,NA,0.000179087782154918,NA,0.00226259361556089,0.000837374838422034,4.9783741694309e-05,0.000208730194664019,0.000254711534200114
"500",0.00161197227128949,0.00077776677479503,0.000637533082820953,NA,0.00166299814913529,0.00158309643264261,0.00188852675365441,0.00106964556897712,NA,0.000204565173179954,NA,0.00208591543519891,0.000823403399760231,5.08026634425135e-05,0.000166361681907083,0.000256337678487157
"510",0.00164234819421468,0.000856960324268381,0.000629457581175568,NA,0.00164916413744756,0.00166785757854166,0.00197336588316272,0.00107041082259793,NA,0.000230679358556558,NA,0.00192418774349032,0.000798108013363986,5.25455438700977e-05,0.000133568851646623,0.000262120938373020
"520",0.00167734363671876,0.00093547751250567,0.00060014324404477,NA,0.00164243441117489,0.00177095978374805,0.00205917133746891,0.000922494696973894,NA,0.000256882184436681,NA,0.00178176841126797,0.00075744556315617,5.49447911624796e-05,0.000110539582687515,0.000269404013504853
"530",0.00171355628872848,0.00101115800088216,0.000523522335693572,0.00096615777641806,0.00164343630596191,0.00189013868303138,0.00214586139180652,0.00091519870447445,NA,0.000324185309669727,NA,0.00148684341061424,0.000704961152113967,5.79860687113521e-05,9.6999106624373e-05,0.000276293973428837
"540",0.00174689070988868,0.00108326867592935,0.000515479307894421,0.00102045010045586,0.00165223510571230,0.00189813400558064,0.00223915401124372,0.000905239144835487,NA,0.000388851785327995,NA,0.00151833974140857,0.000646753666294725,6.16072953361199e-05,9.25169530868037e-05,0.000283530533849826
"550",0.00177310249720217,0.00115146612978486,0.000504868420359874,0.00106881696900609,0.00166868603675079,0.00194906979938790,0.00234463222508667,0.000892497947491834,NA,0.000450948334791664,NA,0.00156325972425117,0.000588502569975365,6.54879329437981e-05,0.000736968224384221,0.000292419496278746
"560",0.00178814722323989,0.0012154337701701,0.000492063769491421,0.00110731162720800,0.00169151046124097,0.0020008071653955,0.00246170241001951,0.000877266480816909,NA,0.000510150158256846,NA,0.00162150694124412,0.000533608358572356,6.92204608589161e-05,0.000660893664005405,0.000303900138060985
"570",0.00178857466077249,0.00127512706190389,0.000477826349427645,0.00113553215520229,0.00171904814415093,0.00205362858795143,0.00258424595252383,0.000860312725824782,NA,0.00056543890023022,NA,0.00169104268588114,0.000484704550155525,7.24668024362382e-05,0.000590828250504946,0.000317822659839028
"580",0.00177105177340789,0.00133070435541142,0.000466470156159436,0.00115662146813111,0.00174957381437499,0.00210652436334282,0.00270611789163654,0.00084243798856083,NA,0.000615710361662399,NA,0.00176935250893019,0.00044411005613235,7.52648429895552e-05,0.000528388501647054,0.000333834848421046
"590",0.00173552037739721,0.00138289134833685,0.000448501700499432,0.00117383715002072,0.00178101199041688,0.00215658763616571,0.00282534013285107,0.000823904061250798,NA,0.000659422203345561,NA,0.00185358055557530,0.000412445276112266,7.77789962424033e-05,0.000474109118919987,0.000351110921356318
"600",0.00169034120488780,0.00143259924663928,0.000431004572983626,0.00118971151800233,0.00181116932895222,0.00220087423767256,0.00294421200317142,0.000804167196004622,NA,0.000694668042301601,NA,0.00194017768437068,0.000389758982731338,8.01223864889105e-05,0.000428056928905815,0.000367607655229303
"610",0.00164519667662391,0.00148070924357467,0.000414751135955232,0.00120614037242789,0.00183747801263523,0.0022376780412794,0.00306515467884597,0.000782571593157752,NA,0.000719609425688188,NA,0.00202522452786517,0.000375845642698566,8.21302091039795e-05,0.000390138566622280,0.000381094371925148
"620",0.00160711269555696,0.00152775945977666,0.000400336402960584,0.000853509728929585,0.00185534525723964,0.00226690169454854,0.00318785110045464,0.000758597200599288,NA,0.00073376452113377,NA,0.00210521322995428,0.000369126568047221,8.35441236583503e-05,0.000359185067900771,0.000390502966061025
"630",0.00157718812258157,0.00157337724779346,0.000387731305764969,0.000904992446067128,0.00185949678448629,0.00229046388738051,0.00330892544723880,0.000732008400399925,NA,0.000737962629929297,NA,0.00217972778254906,0.000367560941402836,8.41857169103322e-05,0.000333573876145084,0.000397359185566601
"640",0.00155569674529253,0.00165595697999610,0.000376602727915533,0.000955765821412128,0.00184560327315845,0.00231022521469404,0.00342495803351771,0.000702848582113727,NA,0.000733081606234501,NA,0.0022506705343789,0.000368865924750527,8.4309265370642e-05,0.000311916903285646,0.00040353377550156
"650",0.00154011656590766,0.00169909857838492,0.000366250640516483,0.00100396850465850,0.00181444924382806,0.0023256143598194,0.00353604644606000,0.000672429275775241,NA,0.000721396689207273,NA,0.0023207384588257,0.000369451527495865,8.43146654590619e-05,0.000294191048801110,0.000410175325936555
"660",0.00152249575554083,0.00174163970310566,0.000356215677689608,0.00104708774432385,0.00176854025892698,0.00233561047144879,0.00364630588250849,0.000642680128230446,NA,0.000707168007819433,NA,0.00239167440963785,0.000365287842363448,8.45787938283816e-05,0.000280868846865941,0.000417029894525534
