time,growth
50.33333333,0.000680907
50.5,0.000649686
50.66666667,0.000631824
50.83333333,0.000625539
51,0.000628869
51.16666667,0.000639618
51.33333333,0.000655377
51.5,0.000673663
51.66666667,0.000692154
51.83333333,0.000708918
52,0.000722575
52.16666667,0.000732362
52.33333333,0.00073812
52.5,0.000740208
52.66666667,0.00073936
52.83333333,0.000736504
53,0.000732554
53.16666667,0.000728226
53.33333333,0.000723914
53.5,0.000719634
53.66666667,0.000715058
53.83333333,0.000709614
54,0.000702664
54.16666667,0.000693717
54.33333333,0.000682601
54.5,0.000669536
54.66666667,0.000655147
54.83333333,0.000640451
55,0.000626891
55.16666667,0.00061634
55.33333333,0.000611036
55.5,0.000613443
55.66666667,0.000626056
55.83333333,0.000651189
56,0.000690734
56.16666667,0.00074595
56.33333333,0.000817241
56.5,0.00090385
56.66666667,0.001003965
56.83333333,0.001115038
57,0.001234086
57.16666667,0.001357921
57.33333333,0.001483228
57.5,0.001606547
57.66666667,0.001724282
57.83333333,0.001832869
58,0.001929104
58.16666667,0.002010504
58.33333333,0.002075583
58.5,0.00212398
58.66666667,0.002156415
58.83333333,0.002174429
59,0.002180006
59.16666667,0.002175254
59.33333333,0.002162299
59.5,0.002143337
59.66666667,0.002120715
59.83333333,0.002096871
60,0.002074101
60.16666667,0.002054212
60.33333333,0.002038235
60.5,0.002026375
60.66666667,0.002018234
60.83333333,0.002013225
61,0.002010988
61.16666667,0.002011637
61.33333333,0.00201574
61.5,0.002024008
61.66666667,0.002036854
61.83333333,0.002054092
62,0.002074936
62.16666667,0.002098266
62.33333333,0.002123005
62.5,0.002148465
62.66666667,0.002174567
62.83333333,0.002201872
63,0.002231362
63.16666667,0.002264038
63.33333333,0.002300523
63.5,0.002340815
63.66666667,0.002384208
63.83333333,0.002429277
64,0.002473887
64.16666667,0.002515348
64.33333333,0.002550837
64.5,0.002577983
64.66666667,0.002595371
64.83333333,0.002602759
65,0.002601015
65.16666667,0.002591915
65.33333333,0.00257788
65.5,0.002561672
65.66666667,0.002546072
65.83333333,0.002533621
66,0.002526466
66.16666667,0.00252623
66.33333333,0.002533804
66.5,0.002549045
66.66666667,0.002570572
66.83333333,0.002595902
67,0.002622016
67.16666667,0.002646135
67.33333333,0.002666339
67.5,0.002681743
67.66666667,0.00269228
67.83333333,0.002698333
68,0.002700443
68.16666667,0.002699163
68.33333333,0.002695073
68.5,0.002688916
68.66666667,0.002681775
68.83333333,0.002675112
69,0.002670566
69.16666667,0.002669576
69.33333333,0.00267305
69.5,0.002681216
69.66666667,0.002693701
69.83333333,0.002709719
70,0.002728344
70.16666667,0.00274875
70.33333333,0.002770319
70.5,0.002792497
70.66666667,0.00281448
70.83333333,0.002834865
71,0.002851419
71.16666667,0.002860988
71.33333333,0.002859542
71.5,0.002842536
71.66666667,0.002805345
71.83333333,0.002743869
72,0.002655339
72.16666667,0.002539122
72.33333333,0.002397249
72.5,0.002234433
72.66666641,0.002057562
72.83333308,0.001874755
72.99999974,0.001694183
73.16666641,0.001522938
73.33333307,0.001366294
73.49999974,0.001227541
73.66666641,0.001108262
73.83333307,0.00100879
73.99999974,0.000928603
74.1666664,0.000866605
74.33333307,0.000821303
74.49999974,0.000790905
74.6666664,0.000773403
74.83333307,0.00076667
74.99999973,0.000768613
75.1666664,0.000777328
75.33333307,0.000791213
75.49999973,0.000809005
75.6666664,0.000829762
75.83333306,0.000852769
75.99999973,0.000877384
76.1666664,0.000902864
76.33333306,0.000928229
76.49999973,0.000952232
76.66666639,0.000973393
76.83333306,0.000990078
76.99999973,0.001000601
77.16666639,0.001003362
77.33333306,0.000997134
77.49999972,0.000981656
77.66666639,0.000957916
77.83333306,0.000928072
77.99999972,0.000895028
78.16666639,0.000861818
78.33333305,0.000831054
78.49999972,0.000804619
78.66666639,0.000783656
78.83333305,0.000768761
78.99999972,0.0007603
79.16666638,0.000758723
79.33333305,0.000764783
79.49999972,0.000779631
79.66666638,0.000804817
79.83333305,0.000842315
79.99999971,0.000894321
80.16666638,0.000962942
80.33333305,0.001049774
80.49999971,0.001155139
80.66666638,0.001278022
80.83333304,0.001416357
80.99999971,0.001567361
81.16666638,0.001727773
81.33333304,0.001893866
81.49999971,0.002061198
81.66666637,0.002224311
81.83333304,0.002376755
81.99999971,0.002511674
82.16666637,0.00262286
82.33333304,0.002705893
82.4999997,0.002758961
82.66666637,0.00278316
82.83333304,0.002782171
82.9999997,0.002761311
83.16666637,0.002726292
83.33333303,0.002682212
83.4999997,0.002633239
83.66666637,0.002582845
83.83333303,0.0025341
83.9999997,0.002489592
84.16666636,0.002451056
84.33333303,0.002419009
84.4999997,0.00239262
84.66666636,0.002369843
84.83333303,0.002347824
84.99999969,0.002323638
85.16666636,0.002295189
85.33333303,0.002261913
85.49999969,0.002224934
85.66666636,0.002186712
85.83333302,0.002150423
85.99999969,0.002119285
86.16666636,0.002095924
86.33333302,0.002081931
86.49999969,0.002077798
86.66666635,0.002083249
86.83333302,0.002097751
86.99999969,0.002120935
87.16666635,0.002152735
87.33333302,0.002193222
87.49999968,0.00224219
87.66666635,0.002298661
87.83333302,0.00236063
87.99999968,0.002425294
88.16666635,0.00248968
88.33333301,0.002551248
88.49999968,0.00260811
88.66666635,0.002658853
88.83333301,0.002702229
88.99999968,0.002736964
89.16666634,0.002761754
89.33333301,0.002775431
89.49999968,0.002777246
89.66666634,0.002767231
89.83333301,0.002746429
89.99999967,0.002716882
90.16666634,0.002681352
90.33333301,0.002642908
90.49999967,0.002604525
90.66666634,0.002568703
90.833333,0.002537111
90.99999967,0.002510292
91.16666634,0.002487611
91.333333,0.00246761
91.49999967,0.002448807
91.66666633,0.002430601
91.833333,0.002413774
91.99999967,0.002400254
92.16666633,0.002392313
92.333333,0.002391678
92.49999966,0.002398974
92.66666633,0.002413644
92.833333,0.002434264
92.99999966,0.002459139
93.16666633,0.002486927
93.33333299,0.002516971
93.49999966,0.002549138
93.66666633,0.002583341
93.83333299,0.002619195
93.99999966,0.002656075
94.16666632,0.00269343
94.33333299,0.002730907
94.49999966,0.002768048
94.66666632,0.002803756
94.83333299,0.002835976
94.99999965,0.002861843
95.16666632,0.002878147
95.33333299,0.002881796
95.49999965,0.00287
95.66666632,0.002840218
95.83333298,0.00279008
95.99999965,0.002717504
96.16666632,0.002621136
96.33333298,0.002501047
96.49999965,0.002359478
96.66666631,0.002201275
96.83333298,0.002033657
96.99999965,0.001865216
97.16666631,0.001704469
97.33333298,0.001558559
97.49999964,0.001432543
97.66666631,0.001329279
97.83333298,0.001249614
97.99999964,0.0011926
98.16666631,0.00115571
98.33333297,0.00113516
98.49999964,0.001126435
98.66666631,0.001124955
98.83333297,0.001126751
98.99999964,0.001128985
99.1666663,0.001130214
99.33333297,0.001130284
99.49999964,0.001129852
99.6666663,0.001129732
99.83333297,0.001130373
99.99999963,0.001131676
100.1666663,0.001133122
100.333333,0.001134034
100.4999996,0.001133829
100.6666663,0.001132157
100.833333,0.001128949
100.9999996,0.001124387
101.1666663,0.001118823
101.333333,0.00111268
101.4999996,0.001106347
101.6666663,0.001100107
101.833333,0.001094133
101.9999996,0.001088571
102.1666663,0.001083619
102.333333,0.00107959
102.4999996,0.001076919
102.6666663,0.001076156
102.833333,0.001077921
102.9999996,0.001082823
103.1666663,0.001091352
103.333333,0.001103788
103.4999996,0.001120167
103.6666663,0.001140285
103.833333,0.001163684
103.9999996,0.001189601
104.1666663,0.001216915
